platform,event_name,deadline,status,theme,link,difficulty,prize_pool,team_size,notes,score
Replit,Replit AI Hackathon,,Open,AI/FullStack,https://replit.com/hackathons,Beginner,$5K+,1-3,Build on Replit – zero setup required,,
Supabase,Supabase Hack Week,,Open,Backend/FullStack,https://supabase.com/hackathon,Beginner,$5K+,1-4,Built on Supabase – auth + DB focus,,
Vercel,Ship Awards,,Open,Frontend/FullStack,https://vercel.com/ship,Beginner,$5K+,1-3,Best Vercel deployment – monthly,,
Arcade,Firebase Peak,,Open,Backend/Mobile,https://firebase.google.com,Beginner,$10K+,1-4,Firebase ecosystem – great for beginners,,
Worldcoin,Worldcoin Hackathon,,Open,Web3/Identity,https://dorahacks.io,Intermediate,$20K+,1-4,World ID and identity focus,,
Celo,Celo Camp,,Open,Web3/Climate,https://celo.org/developers,Intermediate,$15K+,1-4,Climate-positive Web3,,
Solana,Colosseum Renaissance,,Upcoming,Web3/Solana,https://solana.com,Advanced,$50K+,1-4,Solana ecosystem – high performance,,
Aptos,Aptos Hackathon,,Open,Web3/Aptos,https://aptos.dev,Intermediate,$25K+,1-4,Move language on Aptos,,
Base,Base Camp,,Open,Web3/L2,https://base.org,Beginner,$15K+,1-4,Base L2 – beginner friendly Web3,,
Algorand,Algorand Hackathon,,Open,Web3/Algorand,https://algorand.co/hackathon,Intermediate,$20K+,1-4,Algorand ecosystem,,
Sui,Sui Overflow,,Open,Web3/Sui,https://sui.io,Beginner,$30K+,1-4,Sui Move – newer ecosystem less competition,,
Cosmos,Cosmoverse Hackathon,,Open,Web3/IBC,https://cosmos.network,Advanced,$25K+,1-4,Interchain ecosystem,,
Avalanche,Avalanche House,,Open,Web3/AVAX,https://avax.network,Intermediate,$20K+,1-4,Avalanche subnet focus,,
Devfolio,Flow Blockchain,,Open,Web3/Flow,https://devfolio.co/hackathons,Intermediate,$15K+,1-4,Flow ecosystem – NFT + gaming,,
Devpost,Meta Reality Labs,,Upcoming,AR/VR/Meta,https://devpost.com/hackathons,Advanced,$30K+,1-4,AR/VR building with Meta Quest,,
Devpost,Adobe Creative Jam,,Open,Creative/Design,https://devpost.com/hackathons,Intermediate,$10K+,1-4,Adobe tools + creativity,,
MLH,MLH Quantum,,Open,Quantum,https://mlh.io/events,Advanced,$5K+,1-4,Quantum computing – for the brave,,
